구간이름,면수,장애면수,정기면수,주소,재입장시간,위도,경도,데이터기준일자
영천동(중심상가),52,0,0,경기도 화성시 동탄구 영천동732,30,37.20611532,127.1090635,2025-11-17
동탄2오산동(신리천로),42,0,0,경기도 화성시 동탄구 오산동1081-10,30,37.18354095,127.1074245,2025-11-17
기산동,36,0,0,경기도 화성시 병점구 기산동476-5,30,37.21756182,127.0546561,2025-11-17
병점고가,60,3,0,경기도 화성시 병점구 진안동849-2,30,37.20928734,127.0308042,2025-11-17
진안동이주자택지,105,0,0,"경기도 화성시 병점구 진안동934-13,-4",30,37.21877549,127.0364483,2025-11-17
옹달샘,21,0,0,경기도 화성시 동탄구 반송동119,30,37.19749898,127.0766522,2025-11-17
마도바이오밸리,190,7,0,경기도 화성시 만세구 마도면 청원리 1351,30,37.17108827,126.7722982,2025-11-17
마도바이오밸리1,162,6,0,경기도 화성시 만세구 마도면 청원리 1473,30,37.17040882,126.7640521,2025-11-17
에코스쿨,62,3,0,경기도 화성시 동탄구 노작로 158,30,37.20277389,127.074203,2025-11-17
상리(행복주택),50,2,25,경기도 화성시 효행구 삼천병마로 1256-13,30,37.21798239,126.9479824,2025-11-17
봉담상리1,164,0,105,경기도 화성시 효행구 상리중심상가길 25,30,37.22602649,126.9449028,2025-11-17
봉담상리2,200,0,107,경기도 화성시 효행구 상리중심상가길 19,30,37.22528959,126.9453816,2025-11-17
이솔고등학교 공유주차장,72,0,0,경기도 화성시 동탄구 동탄순환대로 7길 10,30,37.16674547,127.1111694,2025-11-17
로얄앤컴퍼니㈜ 공유주차장,54,0,0,경기도 화성시 만세구 팔탄면 시청로 895-20,30,37.17038127,126.8878186,2025-11-17
동탄산단,98,5,59,경기도 화성시 동탄구 동탄산단8길 15-12,30,37.17337029,127.0896202,2025-11-17
정남중앙교회,70,0,0,경기도 화성시 효행구 정남면 만년로 539-29,30,37.16983127,126.9823274,2025-11-17
동탄시온교회,48,0,0,경기도 화성시 동탄구 동탄공원로2길 16,30,37.20582866,127.0615754,2025-11-17
사강감리교회,80,0,0,경기도 화성시 만세구 송산면 사강시장길 10,30,37.21433931,126.7311084,2025-11-17
천천교회,54,0,0,경기도 화성시 효행구 매송면 매송고색로375번길 13,30,37.24459804,126.9454995,2025-11-17
화성중앙교회,18,0,0,경기도 화성시 만세구 향남읍 행정서로3길 46,30,37.13071781,126.9197623,2025-11-17
조암감리교회,40,0,0,경기도 화성시 만세구 우정읍 조암북로24번길 11,30,37.08511994,126.8173628,2025-11-17
선납숲공원,46,2,0,경기도 화성시 동탄구 영천동 897,30,37.20980784,127.1063391,2025-11-17
산척동,30,1,0,경기도 화성시 동탄구 산척동 826-4,30,37.16971598,127.1210847,2025-11-17
태안3 주5 공영주차장,40,1,0,경기도 화성시 병점구 장조1로 17,30,37.20534597,126.9968251,2025-11-17
동탄호수공원(노외),29,1,0,경기도 화성시 동탄구 송동 738,0,37.16981937,127.0953691,2025-11-17
송동721 임시공영주차장,30,0,0,경기도 화성시 동탄구 동탄순환대로 27,30,37.16513692,127.096479,2025-11-17
영천3공영주차장,50,0,0,경기도 화성시 동탄구 영천동 810-1,0,37.20828755,127.0939959,2025-11-17
동탄2지구 주65 공영주차장,50,0,5,경기도 화성시 동탄구 동탄장지천5길 26,30,37.15862034,127.1046901,2025-11-17
태안3 주6 공영주차장,43,0,0,경기도 화성시 병점구 장조2로 18,30,37.20388074,126.9999113,2025-11-17
동탄2 주21 공영주차장,46,0,5,경기도 화성시 동탄구 동탄순환대로16길 31,30,37.17349645,127.122129,2025-11-17
동탄2 주64 공영주차장,38,0,0,경기도 화성시 동탄구 동탄장지천3길 13,30,37.15946311,127.1006425,2025-11-17
내리지구공영,31,0,0,경기도 화성시 효행구 봉담읍 내리 562-3,30,37.22545627,126.9244334,2025-11-17
남양리 나눔주차장,20,0,0,경기도 화성시 만세구 남양읍 남양리 2072-21,30,37.1995119,126.827564,2025-11-17
봉담읍 와우리,128,6,13,경기도 화성시 효행구 봉담읍 와우리 40-4,30,37.21363034,126.9774925,2025-11-17
여울 공원(지하),566,0,85,경기도 화성시 동탄구 오산동 967-1234,30,37.19996979,127.0907051,2025-11-17
동탄1 주46 공영주차장,502,17,0,경기도 화성시 동탄구 석우동 648,30,37.21354778,127.0857366,2025-11-17
동탄 캠핑카(임시),64,0,64,경기도 화성시 동탄구 오산동 989,0,37.19351617,127.0890663,2025-11-17
목동,101,0,0,경기도 화성시 동탄구 목동 503,30,37.18071727,127.1262096,2025-11-17
여울 공원(LH),111,0,0,경기도 화성시 동탄구 동부대로 1063-3,30,37.19919032,127.0855027,2025-11-17
비봉지구 주4,30,0,0,,0,,,2025-11-17
남양택지내 나눔2,20,0,0,,0,,,2025-11-17
화성방조제1,40,,,,0,,,2025-11-17
하길리 캠핑카(임시),28,0,28,경기도 화성시 만세구 향남읍 하길리 1479,0,37.11742966,126.9097006,2025-11-17
화성방조제2,40,,,,,,,2025-11-17
남양(노상),0,0,0,,0,,,2025-11-17
병점복합타운,313,,,경기도 화성시 병점구 진안동 946-6,,,,2025-11-17
호수주차타워,321,12,,경기도 화성시 동탄구 동탄대로5길 12,,37.16786093,127.1050249,2025-11-17
